_id,lat_x,long_x,id,nombre_x,codigo_x,redesid_x,_id_x,lat_y,long_y,id_x,nombre_y,codigo_y,redesid_y,_id_y,date,validoorig,city,estado,valororig,parametro,estacionesid,id_y,hora,fecha,pronostico
5cccf5bee2705c19328205bb,19.26030556,-99.64572222,123,Ceboruco,CB,65,5cccf5bee2705c19328205bb,19.26030556,-99.64572222,123,Ceboruco,CB,65,5ccceb00e2705c19323ab5c8,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,0.366,CO,123,123CO18013000,0,1/30/18,0.3551375
5cccf5bee2705c19328205bc,19.27808333,-99.65641667,124,Toluca Centro,CE,65,5cccf5bee2705c19328205bc,19.27808333,-99.65641667,124,Toluca Centro,CE,65,5ccceb05e2705c19323b6dab,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,0.436,CO,124,124CO18013000,0,1/30/18,0.3535125
5cccf5bee2705c19328205bd,19.27019444,-99.59519444,125,Metepec,MT,65,5cccf5bee2705c19328205bd,19.27019444,-99.59519444,125,Metepec,MT,65,5ccceb0de2705c19323c5445,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,0.136,CO,125,125CO18013000,0,1/30/18,0.29046
5cccf5bee2705c19328205be,19.28344444,-99.68348889,126,Oxtotitlan,OX,65,5cccf5bee2705c19328205be,19.28344444,-99.68348889,126,Oxtotitlan,OX,65,5ccceb14e2705c19323d4340,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,0.388,CO,126,126CO18013000,0,1/30/18,0.3315
5cccf5bee2705c19328205c0,19.28041667,-99.54166667,128,San Mateo Atenco,SM,65,5cccf5bee2705c19328205c0,19.28041667,-99.54166667,128,San Mateo Atenco,SM,65,5ccceb22e2705c19323eef17,2018-01-30T00:00:00.000Z,1,Toluca,Mexico,0.855,CO,128,128CO18013000,0,1/30/18,0.45375
5cccf5bee2705c19328205c1,19.69046111,-101.2047889,129,Universidad Michoacana de San Nicolas Hidalgo,ECU,66,5cccf5bee2705c19328205c1,19.69046111,-101.2047889,129,Universidad Michoacana de San Nicolas Hidalgo,ECU,66,5ccceb28e2705c19323fabe6,2018-01-30T00:00:00.000Z,1,Morelia,Michoacan,0.56,CO,129,129CO18013000,0,1/30/18,0.48475
5cccf5bee2705c19328205c2,19.69197778,-101.1554722,131,Laboratorio de Salud,LAB,66,5cccf5bee2705c19328205c2,19.69197778,-101.1554722,131,Laboratorio de Salud,LAB,66,5ccceb2ae2705c19323fffef,2018-01-30T00:00:00.000Z,1,Morelia,Michoacan,0.2,CO,131,131CO18013000,0,1/30/18,0.50075
5cccf5bee2705c19328205c5,18.92181778,-99.23489667,134,Cuernavaca 01,PGO,69,5cccf5bee2705c19328205c5,18.92181778,-99.23489667,134,Cuernavaca 01,PGO,69,5ccceb2fe2705c19324080b4,2018-01-30T00:00:00.000Z,1,Cuernavaca,Morelos,0.5434017,CO,134,134CO18013000,0,1/30/18,0.539600425
5cccf5bee2705c19328205ca,25.75694444,-100.3658333,140,San Bernabe,NO,72,5cccf5bee2705c19328205ca,25.75694444,-100.3658333,140,San Bernabe,NO,72,5ccceb49e2705c1932438236,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,0.9,CO,140,140CO18013000,0,1/30/18,0.550850425
5cccf5bee2705c19328205cb,25.67583333,-100.3383333,141,Obispado,CE,72,5cccf5bee2705c19328205cb,25.67583333,-100.3383333,141,Obispado,CE,72,5ccceb4fe2705c1932442483,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,2.09,CO,141,141CO18013000,0,1/30/18,0.933350425
