_id_x,lat,long,id_x,nombre_x,codigo,redesid,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,estado,validoorig,valororig,pronostico
5cccf5bee2705c19328205ed,19.63555556,-98.91222222,240,Acolman,ACO,119,5cccebb8e2705c19325041bf,Valle de Mexico,2018-01-30T00:00:00.000Z,240,1/30/18,0,240O318013000,O3,Ciudad de Mexico,1,0.025,1.0553575
5cccf5bee2705c19328205ee,19.15428611,-99.16277778,241,Ajusco,AJU,119,5cccebbae2705c1932508798,Valle de Mexico,2018-01-30T00:00:00.000Z,241,1/30/18,0,241O318013000,O3,Ciudad de Mexico,1,0.032,1.3869375
5cccf5bee2705c19328205f0,19.57722222,-99.25416667,243,Atizapan,ATI,119,5cccebc3e2705c193251b662,Valle de Mexico,2018-01-30T00:00:00.000Z,243,1/30/18,0,243O318013000,O3,Ciudad de Mexico,1,0.031,1.830125
5cccf5bee2705c19328205f2,19.32638889,-99.17611111,245,Centro de Ciencias de la Atmosfera,CCA,119,5cccebcde2705c193252b989,Valle de Mexico,2018-01-30T00:00:00.000Z,245,1/30/18,0,245O318013000,O3,Ciudad de Mexico,1,0.033,2.060675
5cccf5bee2705c19328205f6,19.72222222,-99.19861111,249,Cuautitlan,CUT,119,5cccebd9e2705c1932542534,Valle de Mexico,2018-01-30T00:00:00.000Z,249,1/30/18,0,249O318013000,O3,Ciudad de Mexico,1,0.028,1.91325
5cccf5bee2705c19328205f7,19.4825,-99.24361111,250,FES Acatlan,FAC,119,5cccebdfe2705c193254c66b,Valle de Mexico,2018-01-30T00:00:00.000Z,250,1/30/18,0,250O318013000,O3,Ciudad de Mexico,1,0.034,1.6017325
5cccf5bee2705c19328205f8,19.41166667,-99.15222222,251,Hospital General de Mexico,HGM,119,5cccebe5e2705c1932556154,Valle de Mexico,2018-01-30T00:00:00.000Z,251,1/30/18,0,251O318013000,O3,Ciudad de Mexico,1,0.035,1.147675
5cccf5bee2705c19328205f9,19.38444444,-99.11777778,252,Iztacalco,IZT,119,5cccebeae2705c1932561310,Valle de Mexico,2018-01-30T00:00:00.000Z,252,1/30/18,0,252O318013000,O3,Ciudad de Mexico,1,0.034,0.75713
5cccf5bee2705c19328205fb,19.57888889,-99.03972222,254,Los Laureles,LLA,119,5cccebf2e2705c193256e8a4,Valle de Mexico,2018-01-30T00:00:00.000Z,254,1/30/18,0,254O318013000,O3,Ciudad de Mexico,1,0.031,0.661985
5cccf5bee2705c19328205fc,19.42472222,-99.11972222,256,Merced,MER,119,5cccebf7e2705c1932575d0d,Valle de Mexico,2018-01-30T00:00:00.000Z,256,1/30/18,0,256O318013000,O3,Ciudad de Mexico,1,0.034,0.6232025
5cccf5bee2705c19328205fd,19.46041667,-98.90286111,257,Montecillo,MON,119,5cccebfde2705c1932582032,Valle de Mexico,2018-01-30T00:00:00.000Z,257,1/30/18,0,257O318013000,O3,Ciudad de Mexico,1,0.04,0.656505
5cccf5bee2705c19328205fe,19.39388889,-99.02833333,258,Nezahualcoyotl,NEZ,119,5cccec02e2705c193258a7d9,Valle de Mexico,2018-01-30T00:00:00.000Z,258,1/30/18,0,258O318013000,O3,Ciudad de Mexico,1,0.026,0.7575
5cccf5bee2705c19328205ff,19.32527778,-99.20416667,259,Pedregal,PED,119,5cccec08e2705c19325944db,Valle de Mexico,2018-01-30T00:00:00.000Z,259,1/30/18,0,259O318013000,O3,Ciudad de Mexico,1,0.034,1.188145
5cccf5bee2705c1932820600,19.53305556,-99.03055556,260,San Agustin,SAG,119,5cccec0de2705c193259d06d,Valle de Mexico,2018-01-30T00:00:00.000Z,260,1/30/18,0,260O318013000,O3,Ciudad de Mexico,1,0.038,1.627295
5cccf5bee2705c1932820601,19.3575,-99.26305556,262,Santa Fe,SFE,119,5cccec13e2705c19325a8304,Valle de Mexico,2018-01-30T00:00:00.000Z,262,1/30/18,0,262O318013000,O3,Ciudad de Mexico,1,0.037,1.9985
5cccf5bee2705c1932820602,19.404,-99.20272222,263,Miguel Hidalgo,MGH,119,5cccec1ae2705c19325b4215,Valle de Mexico,2018-01-30T00:00:00.000Z,263,1/30/18,0,263O318013000,O3,Ciudad de Mexico,1,0.028,2.3669
5cccf5bee2705c1932820603,19.24666667,-99.01083333,265,Tlahuac,TAH,119,5cccec20e2705c19325bea33,Valle de Mexico,2018-01-30T00:00:00.000Z,265,1/30/18,0,265O318013000,O3,Ciudad de Mexico,1,0.029,2.308475
5cccf5bee2705c1932820604,19.52916667,-99.20472222,266,Tlalnepantla,TLA,119,5cccec25e2705c19325c70b2,Valle de Mexico,2018-01-30T00:00:00.000Z,266,1/30/18,0,266O318013000,O3,Ciudad de Mexico,1,0.023,2.226275
5cccf5bee2705c1932820606,19.36083333,-99.07388889,268,UAM Iztapalapa,UIZ,119,5cccec30e2705c19325da64e,Valle de Mexico,2018-01-30T00:00:00.000Z,268,1/30/18,0,268O318013000,O3,Ciudad de Mexico,1,0.034,2.04585
5cccf5bee2705c1932820607,19.30444444,-99.10388889,269,UAM Xochimilco,UAX,119,5cccec36e2705c19325e5875,Valle de Mexico,2018-01-30T00:00:00.000Z,269,1/30/18,0,269O318013000,O3,Ciudad de Mexico,1,0.027,1.759525
5cccf5bee2705c1932820608,19.6575,-99.09666667,270,Villa de las Flores,VIF,119,5cccec3ce2705c19325f020a,Valle de Mexico,2018-01-30T00:00:00.000Z,270,1/30/18,0,270O318013000,O3,Ciudad de Mexico,1,0.028,1.49965
5cccf5bee2705c1932820609,19.52611111,-99.0825,271,Xalostoc,XAL,119,5cccec41e2705c19325fa621,Valle de Mexico,2018-01-30T00:00:00.000Z,271,1/30/18,0,271O318013000,O3,Ciudad de Mexico,1,0.035,1.24845
