_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,state,validoorig,valororig
5cccf5bee2705c19328205c1,19.690461111111,-101.20478888889,129,Universidad Michoacana de San Nicolás Hidalgo,ECU,66,5ccceb29e2705c19323fd0d3,Morelia,2018-01-30T00:00:00.000Z,129,2018-01-30,0,129O318013000,O3,Michoacán,1,0.0363
5cccf5bee2705c19328205c2,19.691977777778,-101.15547222222,131,Laboratorio de Salud,LAB,66,5ccceb2ce2705c1932403d06,Morelia,2018-01-30T00:00:00.000Z,131,2018-01-30,0,131O318013000,O3,Michoacán,1,0.033
5cccf5bee2705c19328205c5,18.921817777778,-99.234896666667,134,Cuernavaca 01,PGO,69,5ccceb30e2705c193240a3f5,Cuernavaca,2018-01-30T00:00:00.000Z,134,2018-01-30,0,134O318013000,O3,Morelos,1,0.06648053
5cccf5bee2705c19328205ca,25.756944444444,-100.36583333333,140,San Bernabé,NO,72,5ccceb4be2705c193243b132,Monterrey,2018-01-30T00:00:00.000Z,140,2018-01-30,0,140O318013000,O3,Nuevo León,1,0.003
5cccf5bee2705c19328205cb,25.675833333333,-100.33833333333,141,Obispado,CE,72,5ccceb51e2705c19324456a2,Monterrey,2018-01-30T00:00:00.000Z,141,2018-01-30,0,141O318013000,O3,Nuevo León,1,0.042
5cccf5bee2705c19328205cc,25.745277777778,-100.255,142,San Nicolás,NE,72,5ccceb56e2705c193244f35c,Monterrey,2018-01-30T00:00:00.000Z,142,2018-01-30,0,142O318013000,O3,Nuevo León,1,0.016
5cccf5bee2705c19328205d3,16.699340277778,-96.866455,160,CEDART,CED,73,5ccceb78e2705c193248c2c4,Oaxaca,2018-01-30T00:00:00.000Z,160,2018-01-30,0,160O318013000,O3,Oaxaca,1,0.0348
5cccf5bee2705c19328205d6,19.062722222222,-98.224527777778,163,Benemérito Instituto Normal del Estado,BINE,74,5ccceb87e2705c19324a5645,Puebla,2018-01-30T00:00:00.000Z,163,2018-01-30,0,163O318013000,O3,Puebla,1,0.0231766861435728
5cccf5bee2705c19328205dd,22.15125,-100.99611111111,171,Industriales Potosinos Asociados,IPAC,79,5ccceb8fe2705c19324b5198,San Luis Potosí Estatal,2018-01-30T00:00:00.000Z,171,2018-01-30,0,171O318013000,O3,San Luis Potosí,1,0.029998
5cccf5bee2705c19328205df,22.174222222222,-100.99308333333,174,Biblioteca,BIB,79,5ccceb99e2705c19324c7942,San Luis Potosí Estatal,2018-01-30T00:00:00.000Z,174,2018-01-30,0,174O318013000,O3,San Luis Potosí,1,0.025148
5cccf5bee2705c19328205e9,19.317583333333,-98.237305555556,220,Palacio de Gobierno,PGO,107,5ccceba2e2705c19324d927f,Tlaxcala,2018-01-30T00:00:00.000Z,220,2018-01-30,0,220O318013000,O3,Tlaxcala,1,0.0485
5cccf5bee2705c19328205eb,19.530094444444,-96.881880555556,235,STPS,STP,115,5cccebade2705c19324ed408,Xalapa,2018-01-30T00:00:00.000Z,235,2018-01-30,0,235O318013000,O3,Veracruz,1,0.033299999999999996
5cccf5bee2705c19328205ec,20.973272222222,-89.624811111111,236,SEDUMA01,CEN,116,5cccebb2e2705c19324f914b,Mérida,2018-01-30T00:00:00.000Z,236,2018-01-30,0,236O318013000,O3,Yucatán,1,0.0435594253
5cccf5bee2705c19328205ed,19.635555555556,-98.912222222222,240,Acolman,ACO,119,5cccebb8e2705c19325041bf,Valle de México,2018-01-30T00:00:00.000Z,240,2018-01-30,0,240O318013000,O3,Ciudad de México,1,0.025
5cccf5bee2705c19328205ee,19.154286111111,-99.162777777778,241,Ajusco,AJU,119,5cccebbae2705c1932508798,Valle de México,2018-01-30T00:00:00.000Z,241,2018-01-30,0,241O318013000,O3,Ciudad de México,1,0.032
5cccf5bee2705c19328205f0,19.577222222222,-99.254166666667,243,Atizapán,ATI,119,5cccebc3e2705c193251b662,Valle de México,2018-01-30T00:00:00.000Z,243,2018-01-30,0,243O318013000,O3,Ciudad de México,1,0.031
5cccf5bee2705c19328205f2,19.326388888889,-99.176111111111,245,Centro de Ciencias de la Atmósfera,CCA,119,5cccebcde2705c193252b989,Valle de México,2018-01-30T00:00:00.000Z,245,2018-01-30,0,245O318013000,O3,Ciudad de México,1,0.033
5cccf5bee2705c19328205f6,19.722222222222,-99.198611111111,249,Cuautitlán,CUT,119,5cccebd9e2705c1932542534,Valle de México,2018-01-30T00:00:00.000Z,249,2018-01-30,0,249O318013000,O3,Ciudad de México,1,0.028
5cccf5bee2705c19328205f7,19.4825,-99.243611111111,250,FES Acatlán,FAC,119,5cccebdfe2705c193254c66b,Valle de México,2018-01-30T00:00:00.000Z,250,2018-01-30,0,250O318013000,O3,Ciudad de México,1,0.034
5cccf5bee2705c19328205f8,19.411666666667,-99.152222222222,251,Hospital General de México,HGM,119,5cccebe5e2705c1932556154,Valle de México,2018-01-30T00:00:00.000Z,251,2018-01-30,0,251O318013000,O3,Ciudad de México,1,0.035
5cccf5bee2705c19328205f9,19.384444444444,-99.117777777778,252,Iztacalco,IZT,119,5cccebeae2705c1932561310,Valle de México,2018-01-30T00:00:00.000Z,252,2018-01-30,0,252O318013000,O3,Ciudad de México,1,0.034
5cccf5bee2705c19328205fb,19.578888888889,-99.039722222222,254,Los Laureles,LLA,119,5cccebf2e2705c193256e8a4,Valle de México,2018-01-30T00:00:00.000Z,254,2018-01-30,0,254O318013000,O3,Ciudad de México,1,0.031
5cccf5bee2705c19328205fc,19.424722222222,-99.119722222222,256,Merced,MER,119,5cccebf7e2705c1932575d0d,Valle de México,2018-01-30T00:00:00.000Z,256,2018-01-30,0,256O318013000,O3,Ciudad de México,1,0.034
5cccf5bee2705c19328205fd,19.460416666667,-98.902861111111,257,Montecillo,MON,119,5cccebfde2705c1932582032,Valle de México,2018-01-30T00:00:00.000Z,257,2018-01-30,0,257O318013000,O3,Ciudad de México,1,0.04
5cccf5bee2705c19328205fe,19.393888888889,-99.028333333333,258,Nezahualcóyotl,NEZ,119,5cccec02e2705c193258a7d9,Valle de México,2018-01-30T00:00:00.000Z,258,2018-01-30,0,258O318013000,O3,Ciudad de México,1,0.026
5cccf5bee2705c19328205ff,19.325277777778,-99.204166666667,259,Pedregal,PED,119,5cccec08e2705c19325944db,Valle de México,2018-01-30T00:00:00.000Z,259,2018-01-30,0,259O318013000,O3,Ciudad de México,1,0.034
