_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,date,validoorig,city,estado,valororig,parametro,estacionesid,id_y,hora,fecha
5cccf5bee2705c19328205d5,19.04138889,-98.21422222,162,Las Ninfas,NIN,74,5ccceb84e2705c19324a0b1b,2018-01-30T00:00:00.000Z,1,Puebla,Puebla,38.32783333,PM10,162,162PM1018013000,0,1/30/18
5cccf5bee2705c19328205d6,19.06272222,-98.22452778,163,Benemerito Instituto Normal del Estado,BINE,74,5ccceb87e2705c19324a6ee1,2018-01-30T00:00:00.000Z,1,Puebla,Puebla,8.105541667,PM10,163,163PM1018013000,0,1/30/18
5cccf5bee2705c19328205df,22.17422222,-100.9930833,174,Biblioteca,BIB,79,5ccceb9ae2705c19324c989a,2018-01-30T00:00:00.000Z,1,San Luis Potosi Estatal,San Luis Potosi,19.148,PM10,174,174PM1018013000,0,1/30/18
5cccf5bee2705c19328205e6,31.29311111,-110.9523056,187,Instituto Tecnologico de Nogales,TEC,88,5ccceb9de2705c19324cfa37,2018-01-30T00:00:00.000Z,1,Nogales,Sonora,82.08797222,PM10,187,187PM1018013000,0,1/30/18
5cccf5bee2705c19328205e9,19.31758333,-98.23730556,220,Palacio de Gobierno,PGO,107,5ccceba3e2705c19324dad80,2018-01-30T00:00:00.000Z,1,Tlaxcala,Tlaxcala,13,PM10,220,220PM1018013000,0,1/30/18
5cccf5bee2705c19328205eb,19.53009444,-96.88188056,235,STPS,STP,115,5cccebaee2705c19324ef568,2018-01-30T00:00:00.000Z,1,Xalapa,Veracruz,17.3,PM10,235,235PM1018013000,0,1/30/18
5cccf5bee2705c19328205ed,19.63555556,-98.91222222,240,Acolman,ACO,119,5cccebb8e2705c1932505926,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,17,PM10,240,240PM1018013000,0,1/30/18
5cccf5bee2705c19328205ef,19.27222222,-99.20777778,242,Ajusco Medio,AJM,119,5cccebbde2705c1932510a62,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,22,PM10,242,242PM1018013000,0,1/30/18
5cccf5bee2705c19328205f6,19.72222222,-99.19861111,249,Cuautitlan,CUT,119,5cccebdae2705c19325441a9,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,17,PM10,249,249PM1018013000,0,1/30/18
5cccf5bee2705c19328205f7,19.4825,-99.24361111,250,FES Acatlan,FAC,119,5cccebe0e2705c193254e1c2,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,9,PM10,250,250PM1018013000,0,1/30/18
